"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-06-30,0,0.00100187550876658,0.0477717442028853,0.0437890606014301,0.0385530513451967,0.0372058944769875,0.104713299336628,0.147130104705022,0.252503360560774,0.275367626528283
2021-07-01,0,0.00106337000782544,0.0493141052860912,0.0452251635661548,0.0400402666889068,0.0389266472973364,0.109297510085071,0.15793476231112,0.269679799503478,0.290317618277899
2021-07-02,0,0.00112862640948026,0.0509014278485818,0.0467042388367906,0.0415808096536549,0.0407219574725461,0.114045733737045,0.169285007515253,0.287374161320657,0.305611346874009
2021-07-03,0,0.00119787354417365,0.0525347673871992,0.048227353558614,0.0431763151533447,0.0425946116142081,0.118960779934383,0.181178061664073,0.305540678475193,0.321217150812791
2021-07-04,0,0.0012713539961175,0.0542151877132328,0.0497955870211242,0.0448284468876055,0.0445474597443191,0.124045247567587,0.193607609733117,0.324129960207528,0.337101026317844
2021-07-05,0,0.00134932490906066,0.0559437598535458,0.0514100297857668,0.0465388961200895,0.0465834128329601,0.12930150169287,0.206563702414234,0.34308946507077,0.35322685174093
2021-07-06,0,0.00143205883661706,0.0577215608650146,0.0530717827320726,0.0483093802856141,0.0487054398745725,0.134731650043828,0.220032708855461,0.362363963234868,0.369556627600898
2021-07-07,0,0.00151984463927939,0.0595496725594471,0.0547819560188877,0.050141641416453,0.0509165644707241,0.140337519281284,0.233997320765693,0.38189597820048,0.386050728902532
2021-07-08,0,0.00161298843029957,0.0614291801362663,0.056541667957418,0.052037444378056,0.0532198608871009,0.146120631139518,0.248436606842034,0.401626201804523,0.402668166867095
2021-07-09,0,0.00171181457266813,0.063361170720395,0.0583520437928897,0.0539985749045081,0.0556184495525983,0.152082178641006,0.263326114856528,0.421493880637052,0.419366857751572
2021-07-10,0,0.00181666672946889,0.065346731802952,0.0602142143917214,0.0560268374241533,0.0581154919688366,0.158223002564704,0.278638017359139,0.441437175910715,0.436103896976996
2021-07-11,0,0.00192790896992107,0.0673869495825756,0.0621293148312293,0.0581240526659834,0.060714184999259,0.164543568364485,0.294341295900584,0.461393502179148,0.452835837274116
2021-07-12,0,0.00204592693344762,0.0694829072054234,0.0640984828890337,0.0602920550376696,0.0634177545081992,0.171043943744292,0.310401958006978,0.481299852901872,0.46951896994046
2021-07-13,0,0.0021711290541226,0.0716356829021611,0.0661228574295161,0.0625326897664691,0.0662294483219945,0.177723777104627,0.326783280869079,0.50109312257062,0.486109608549903
2021-07-14,0,0.00230394784785127,0.0738463480205565,0.0682035766848833,0.0648478097947087,0.0691525284863924,0.184582277080863,0.343446075828655,0.52071043586415,0.502564374539936
2021-07-15,0,0.00244484126462046,0.0761159649526208,0.0703417764286383,0.0672392724221133,0.0721902627972092,0.191618193397294,0.360348968208734,0.540089494045815,0.518840484012055
2021-07-16,0,0.00259429410812201,0.0784455849556132,0.0725385880395309,0.0697089356879386,0.0753459155844673,0.198829799261647,0.377448687773872,0.559168947558641,0.534896034820846
2021-07-17,0,0.00275281952499492,0.0808362458666246,0.0747951364543742,0.0722586544866773,0.0786227377341159,0.206214875522726,0.394700366034694,0.57788880154543,0.550690292615126
2021-07-18,0,0.0029209605658491,0.0832889697108989,0.0771125380084578,0.0748902764120498,0.082023955935934,0.213770696808885,0.412057837632505,0.596190857913176,0.566183973961586
2021-07-19,0,0.00309929182012158,0.0858047602045262,0.0794918981626778,0.0776056373250685,0.0855527611513712,0.221494019856986,0.429473944058761,0.614019193717003,0.581339524070808
2021-07-20,0,0.00328842112667051,0.088384600152659,0.0819343091169243,0.080406556643185,0.089212296300889,0.229381074230412,0.446900838890523,0.631320671272315,0.596121386010371
2021-07-21,0,0.00348899136182825,0.0910294487449531,0.0844408473097345,0.0832948323488941,0.0930056431768462,0.23742755561058,0.464290294478623,0.648045470801418,0.61049625768869
2021-07-22,0,0.00370168230640782,0.0937402387505245,0.0870125708047246,0.0862722357176865,0.0969358085951178,0.24562862182937,0.481594010547787,0.664147631937026,0.624433332387386
2021-07-23,0,0.00392721259288086,0.0965178736153361,0.089650516564856,0.0893405057669056,0.101005709806414,0.253978891790014,0.498763925414011,0.679585586444193,0.637904518267422
2021-07-24,0,0.00416634173361387,0.0993632244655905,0.0923556976161821,0.0925013434288845,0.105218159196676,0.262472447401634,0.515752530471362,0.694322661504016,0.650884632125577
2021-07-25,0,0.00441987223065668,0.102277127021391,0.0951291001033447,0.0957564054537047,0.109575848314865,0.271102838627852,0.532513188247147,0.708327531215622,0.663351562770684
2021-07-26,0,0.00468865176711508,0.10526037842566,0.0979716802397575,0.0991072980490359,0.114081331275971,0.279863091723226,0.549000453692101,0.721574593919159,0.675286399744629
2021-07-27,0,0.00497357547960036,0.108313733994056,0.100884361156114,0.102555570266767,0.118737007596912,0.288745720702838,0.565170397503489,0.734044254683375,0.686673523732213
2021-07-28,0,0.00527558831062471,0.11143790389239,0.103868029651605,0.106102707148533,0.123545104533266,0.297742742060751,0.580980929236698,0.74572309581676,0.69750065586692
2021-07-29,0,0.00559568743909267,0.114633549748865,0.106923532852989,0.109750122644745,0.128507658995202,0.306845692722464,0.596392116825218,0.756603923331505,0.707758864205855
2021-07-30,0,0.00593492478621643,0.117901281209244,0.110051674787489,0.113499152324356,0.133626499131551,0.316045651185491,0.611366497993973,0.766685683507611,0.717442526858916
2021-07-31,0,0.00629440959324675,0.121241652443905,0.113253212876299,0.117351045895317,0.138903225681409,0.325333261771132,0.625869378018369,0.77597325051983,0.726549252544184
2021-08-01,0,0.00667531106635029,0.124655158616554,0.116528854356342,0.121306959558435,0.144339193203017,0.334698761879718,0.639869107453529,0.784477092877799,0.735079760626268
2021-08-02,0,0.00707886108276793,0.128142232325206,0.119879252638834,0.125367948220233,0.149935491299531,0.344132012111683,0.653337332929253,0.792212832573898,0.743037723900343
2021-08-03,0,0.00750635695104601,0.131703240026875,0.123305003614029,0.12953495759324,0.155692925970697,0.35362252908791,0.666249213953295,0.799200715808042,0.75042957844189
2021-08-04,0,0.00795916421663134,0.135338478458231,0.126806641912508,0.133808816215033,0.161612001228068,0.363159520775417,0.678583598939905,0.805465017592652,0.757264305693711
2021-08-05,0,0.00843871950245073,0.139048171065267,0.1303846371342,0.138190227420203,0.167692901119102,0.372731924098865,0.69032315440057,0.811033404254685,0.76355319256787
2021-08-06,0,0.00894653337224526,0.142832464455806,0.134039390057265,0.14267976130218,0.173935472312091,0.38232844459485,0.70145444238061,0.815936277861516,0.769309575680064
2021-08-07,0,0.00948419320238783,0.146691424889399,0.137771228839848,0.147277846704563,0.180339207399163,0.391937597844829,0.711967942742253,0.82020612509184,0.774548575906896
2021-08-08,0,0.0100533660456706,0.150625034819866,0.141580405228577,0.151984763284158,0.186903229078432,0.401547752403915,0.721858018691495,0.823876890365383,0.779286829279395
2021-08-09,0,0.010655801468098,0.154633189506365,0.14546709078851,0.156800633690321,0.193626275378596,0.411147173927048,0.731122825905628,0.826983389518559,0.783542219830745
2021-08-10,0,0.0112933343370532,0.15871569370947,0.149431373170062,0.161725415907376,0.200506686089698,0.420724070181164,0.739764167608971,0.829560776362839,0.787333619444634
2021-08-11,0,0.0119678875363227,0.162872258489219,0.153473252429173,0.166758895808856,0.207542390562364,0.430266636622241,0.747787299831696,0.83164407045022,0.790680639051072
2021-08-12,0,0.0126814745803501,0.167102498122571,0.15759263741771,0.171900679973939,0.214730897034363,0.439763102209518,0.75520069274749,0.833267750591541,0.793603394738341
2021-08-13,0,0.0134362020967692,0.171405927158016,0.161789342261699,0.17715018881781,0.222069283637926,0.449201775125857,0.762015755319004,0.834465415341871,0.796122291540225
2021-08-14,0,0.0142342721427227,0.175781957625359,0.166063082945603,0.182506650088657,0.229554191233724,0.45857108807321,0.768246531415573,0.835269508911292,0.798257826858345
2021-08-15,0,0.0150779843167345,0.180229896418844,0.170413474021267,0.187969092784592,0.237181818207814,0.467859642815459,0.773909376070894,0.835711108831241,0.800030414724815
2021-08-16,0,0.0159697376239798,0.184748942871835,0.174840025460627,0.193536341543956,0.244947917356304,0.477056253647554,0.779022620620219,0.835819770196609,0.801460231426438
2021-08-17,0,0.0169120320487203,0.189338186541158,0.17934213967149,0.199207011562169,0.252847794968925,0.486149989479759,0.783606235130433,0.835623420358217,0.802567082415729
2021-08-18,0,0.0179074697834672,0.193996605219068,0.183919108695921,0.204979504087527,0.260876312207389,0.495130214238949,0.787681495870785,0.835148297478204,0.803370289935949
2021-08-19,0,0.0189587560601575,0.198723063190424,0.188570111610804,0.210852002547068,0.269027888857357,0.503986625305102,0.791270664643055,0.834418926288869,0.803888600389514
2021-08-20,0,0.02006869952432,0.203516309752226,0.193294212150089,0.216822469351861,0.277296509514352,0.512709289720307,0.794396685681549,0.833458124619217,0.804140110178962
2021-08-21,0,0.0212402120889503,0.208374978012067,0.198090356568022,0.222888643428775,0.285675732244158,0.521288677929478,0.79708290462981,0.832287034685308,0.804142208539999
2021-08-22,0,0.0224763082006657,0.21329758398131,0.20295737176233,0.229048038522936,0.294158699737372,0.52971569483646,0.799352812879369,0.830925173704517,0.803911535757138
2021-08-23,0,0.0237801034467919,0.218282525977945,0.207893963675828,0.235297942311775,0.302738152956169,0.53798170798587,0.801229819381849,0.829390499027578,0.80346395509286
2021-08-24,0,0.0251548124284216,0.223328084353056,0.212898715994312,0.241635416367692,0.31140644724911,0.546078572709668,0.8027370509699,0.827699483637584,0.802814536758784
2021-08-25,0,0.0266037458213322,0.228432421553687,0.217970089157786,0.248057297002025,0.320155570887401,0.553998654107697,0.803897181280251,0.825867198506277,0.801977552300538
2021-08-26,0,0.0281303065440727,0.233593582533619,0.223106419701156,0.25456019701821,0.328977165953584,0.561734845762847,0.804732287583915,0.823907398900819,0.800966477845578
2021-08-27,0,0.029737984950689,0.23880949552216,0.228305919939452,0.261140508396777,0.337862551491472,0.569280585123747,0.805263734201595,0.821832612283743,0.799794004765371
2021-08-28,0,0.0314303529646236,0.244077973159503,0.233566678011366,0.267794405929191,0.346802748804617,0.576629865520431,0.805512080713348,0.819654225936933,0.798472056421512
2021-08-29,0,0.0332110570704666,0.249396714005593,0.238886658293568,0.274517851811544,0.355788508769818,0.583777244810937,0.80549701284922,0.817382572864917,0.797011809792314
2021-08-30,0,0.0350838100816497,0.254763304427659,0.244263702196697,0.281306601202851,0.364810341012547,0.590717850688667,0.805237293755304,0.815027014894704,0.795423720906423
2021-08-31,0,0.0370523816050453,0.260175220869737,0.249695529352303,0.28815620874613,0.373858544772819,0.597447382711265,0.804750733248032,0.812596022192512,0.793717553138565
2021-09-01,0,0.039120587127965,0.265629832505571,0.255179739198218,0.29506203604376,0.382923241273207,0.603962111141187,0.804054172677812,0.810097248667501,0.79190240754625
2021-09-02,0,0.0412922756594233,0.271124404274281,0.260713812967966,0.302019260071757,0.391994407385638,0.610258872715763,0.803163483101526,0.807537602934775,0.789986754542751
2021-09-03,0,0.043571315865937,0.276656100296126,0.266295116087787,0.309022882510727,0.401061910380404,0.616335063489871,0.802093574593144,0.804923314670846,0.787978466309442
2021-09-04,0,0.0459615806527112,0.28222198766358,0.271920900982815,0.316067739964368,0.410115543529682,0.622188628917187,0.800858414686668,0.802259996320322,0.785884849448666
2021-09-05,0,0.0484669301539729,0.287819040600833,0.277588310291722,0.323148515029613,0.419145062328905,0.627818051355911,0.799471054131731,0.799552700208462,0.783712677466425
2021-09-06,0,0.051091193111528,0.293444144982659,0.283294380486978,0.330259748175884,0.428140221092639,0.633222335201841,0.797943658338244,0.796805971185555,0.781468222752317
2021-09-07,0,0.0538381466384028,0.299094103201505,0.289036045895552,0.337395850384483,0.437090809677319,0.638400989865385,0.796287543083551,0.794023894980177,0.779157287792689
2021-09-08,0,0.0567114943846689,0.304765639369513,0.294810143112614,0.344551116493092,0.445986690081259,0.643354010819577,0.794513213247025,0.791210142473341,0.776785235412399
